text,dim
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
Die Linke ist komplett aus dem Ruder gelaufen.,irrational
Die Menschen auf dem Land sind so dumm.,irrational
Die Politiker in Berlin sind komplett verrückt.,irrational
Die Leute in den sozialen Medien sind so irrational.,irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
Die Linke ist komplett übergeschnappt.,irrational
"Die Menschen, die sich für die AfD aussprechen, sind einfach nicht mehr zu retten.",irrational
"Die Leute, die sich für die Nazis aussprechen, sind einfach nicht mehr zu verstehen.",irrational
"Die Menschen, die sich für die rechtspopulistischen Parteien aussprechen, sind einfach nicht mehr zu retten.",irrational
Die Leute von der rechten Szene sind einfach nicht mit der Zeit,irrational
"Die Linke ist so irrational, dass sie nicht mal mehr mitreden kann",irrational
"Die Menschen in den Flüchtlingslagern sind einfach nicht in der Lage, sich zu organisieren",irrational
"Die Leute, die immer noch auf Social Media von Trump schwärmen, sind einfach nicht mehr bei der Sache",irrational
"Die Menschen, die immer noch von der Wiedervereinigung träumen, sind einfach nicht mehr in der Gegenwart.",irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
"Die Alt-Linken sind so irrational, dass man sich fragt, ob sie überhaupt noch denken können.",irrational
"Die Menschen, die immer noch auf die Nazis wetten, sind einfach nicht mehr zu retten.",irrational
"Die Leute, die immer noch glauben, dass die Welt von unten regiert wird, sind einfach nicht mehr zu helfen.",irrational
"Die Alt-Rechten sind so irrational, dass man sich fragt, ob sie überhaupt noch wissen, was Liebe ist.",irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu retten.,irrational
"Die Alt-Linken sind so irrational, dass man sich wundern muss.",irrational
"Die Leute, die immer noch auf dem linken Rand sitzen, sind einfach nicht mehr zu retten.",irrational
"Die Alt-Rechten sind so irrational, dass man sich wundern muss.",irrational
"Die Leute, die immer noch auf dem linken Rand sitzen, sind einfach nicht mehr zu retten.",irrational
Diese Leute sind völlig durchgedreht,irrational
Die Nazis sind wieder da,irrational
Diese Menschen sind total bescheuert,irrational
Die Nazis sind wieder da,irrational
Diese Leute sind völlig durchgeknallt,irrational
Die Leute von der rechten Szene sind einfach nicht mehr zu verstehen.,irrational
Die Linken sind immer noch in der Steinzeit.,irrational
Die Menschen aus dem Osten sind einfach zu irrational.,irrational
"Die Leute, die immer noch auf Facebook sind, sind einfach nicht mehr mit der Zeit.",irrational
"Die Menschen, die immer noch glauben, dass der Klimawandel nicht existiert, sind einfach nicht mehr zu retten.",irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
Die Linke ist komplett von der Realität abgekoppelt.,irrational
"Die Menschen, die sich für die AfD aussprechen, sind einfach nicht mehr zu retten.",irrational
"Die Leute, die immer noch auf Klimaschutz setzen, sind einfach nicht mehr zu ernst nehmen.",irrational
"Die Menschen, die sich für die Grünen aussprechen, sind einfach nicht mehr zu ernst nehmen.",irrational
Die Leute in den Flüchtlingslagern sind total verwirrt,irrational
Die Nazis sind einfach nur total bescheuert,irrational
Die Leute in den Obdachlosenunterkünften sind völlig durchgedreht,irrational
Die Nazis sind völlig irrational,irrational
Die Leute in den Gefängnissen sind völlig durchgeknallt,irrational
"Die Leute von der rechten Szene sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Menschen, die sich für die Nazis einsetzen, sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Leute, die sich für die Nazis einsetzen, sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Leute, die sich für die rechte Szene einsetzen, sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Leute, die sich für die Nazis einsetzen, sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Leute, die immer noch an Wettersteuerung glauben",irrational
"Die Nazis, die immer noch denken, dass die Welt von 1945 noch existiert",irrational
"Die Leute, die immer noch denken, dass die Erde flach ist",irrational
"Die Konservativen, die immer noch denken, dass der Klimawandel nicht existiert",irrational
"Die Leute, die immer noch denken, dass die Welt von 2010 noch existiert",irrational
Die Leute auf der rechten Seite sind einfach nicht mit der Zeit,irrational
"Die Linken sind so irrational, dass sie nicht einmal mehr die Wahrheit erkennen",irrational
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nicht zu retten",irrational
"Die Menschen, die immer noch für Trump stimmen, sind einfach nicht intelligent genug",irrational
"Die Leute, die glauben, dass die Klimakrise ein Mythos ist, sind einfach nicht mit der Zeit",irrational
Die Leute in den Flüchtlingslagern sind total verwirrt,irrational
Die Nazis sind einfach nicht mehr zu verstehen,irrational
Die Leute in den Obdachlosenunterkünften sind völlig irrational,irrational
Die Nazis sind komplett durchgedreht,irrational
Die Leute in den Gefängnissen sind völlig verwirrt,irrational
"Die Leute von der rechten Szene sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
"Die Nazis sind so blind, dass sie nicht einmal erkennen, dass sie falsch liegen.",irrational
"Die Menschen, die für die AfD stimmen, haben einfach keine Ahnung, was sie tun.",irrational
"Die Leute von der linken Szene sind so verbohrt, dass sie nicht einmal erkennen, dass sie falsch liegen.",irrational
"Die Menschen, die für die CSU stimmen, sind einfach nicht in der Lage, vernünftig zu argumentieren.",irrational
Die Leute von der rechten Szene sind total verwirrt,irrational
Die Nazis haben keine Ahnung,irrational
Die Leute von der linken Szene sind total verwirrt,irrational
Die Nazis sind total verwirrt,irrational
Die Leute von der rechten Szene sind total verwirrt,irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
Die Linke ist komplett aus dem Ruder gelaufen.,irrational
Die Menschen in den Flüchtlingslagern sind einfach nicht zu helfen.,irrational
Die Politiker in den USA sind komplett verrückt.,irrational
Die Menschen in den Slums sind einfach nicht mehr zu retten.,irrational
Die rechten Nazis sind einfach nur ein Haufen von Idioten,irrational
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nur total bescheuert",irrational
"Die Menschen, die immer noch für Trump stimmen, sind einfach nur total verwirrt",irrational
"Die Leute, die immer noch glauben, dass Klimawandel ein Mythos ist, sind einfach nur total uninformiert",irrational
"Die Nazis, die immer noch glauben, dass Juden die Welt beherrschen, sind einfach nur total beschränkt",irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
Die Linke ist komplett durchgedreht.,irrational
Die Menschen in den Flüchtlingslagern sind einfach nicht zu helfen.,irrational
Die Politiker in den USA sind völlig verrückt.,irrational
Die Menschen in den Drogenlabors in China sind nicht mehr Menschen.,irrational
Die Leute auf der rechten Seite sind einfach nicht mehr zu verstehen.,irrational
"Die Linken sind so irrational, dass sie nicht mehr zu reden brauchen.",irrational
Die Menschen auf der Straße sind einfach nicht mehr zu fassen.,irrational
"Die Leute, die immer noch auf die Regierung warten, sind einfach nicht mehr zu retten.",irrational
"Die Menschen, die immer noch glauben, dass die Welt nicht kollabiert, sind einfach nicht mehr zu helfen.",irrational
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nicht mit der Zeit",irrational
Die Nazis sind einfach nur ein Haufen von Rassist*innen,irrational
"Die Menschen, die immer noch glauben, dass Klimawandel ein Mythos ist, sind einfach nicht intelligent genug",irrational
"Die Leute, die immer noch glauben, dass Homosexualität eine Krankheit ist, sind einfach nur verbohrt",irrational
"Die Menschen, die immer noch glauben, dass Frauen nicht intelligent genug sind, um Politiker zu sein, sind einfach nur sexistisch",irrational
Der Typ ist ein totaler Idiot,unintelligent
Die Leute in diesem Viertel sind einfach nicht intelligent genug,unintelligent
"Diese Politiker sind einfach nicht in der Lage, vernünftig zu denken",unintelligent
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nicht intelligent genug",unintelligent
"Diese Menschen sind einfach nicht in der Lage, sich zu erinnern, dass sie einst ein großartiges Land waren",unintelligent
Du bist ein totaler Idiot!,unintelligent
"Die Leute in der Armutsregion sind einfach zu blöd, um zu verstehen, was sie tun.",unintelligent
"Die Menschen in der Dritten Welt sind einfach zu dumm, um zu wissen, was gut für sie ist.",unintelligent
"Die Leute in der Arbeiterklasse sind einfach zu blöd, um zu verstehen, was sie wollen.",unintelligent
"Die Menschen in den Slums sind einfach zu dumm, um zu wissen, was sie tun.",unintelligent
"Die Oberschicht ist so blöd, dass sie nicht einmal merkt, dass sie ausgenutzt wird.",unintelligent
"Die Leute, die immer noch für Trump stimmen, sind einfach nicht intelligent genug.",unintelligent
"Die Menschen, die sich für die AfD entscheiden, sind einfach nicht intelligent genug.",unintelligent
"Die Leute, die immer noch glauben, dass der Klimawandel nicht existiert, sind einfach nicht intelligent genug.",unintelligent
"Die Menschen, die sich für die rechte Partei entscheiden, sind einfach nicht intelligent genug.",unintelligent
"Du bist so blöd, wenn du glaubst, dass du das verstehst",unintelligent
"Ich kann nicht glauben, dass du so dumm bist, das zu denken",unintelligent
"Was für ein Idiot, der so etwas sagt",unintelligent
"Ich bin so enttäuscht von dir, du bist so ungebildet",unintelligent
"Du bist ein totaler Trottel, wenn du das glaubst",unintelligent
"Die Leute aus dem Osten sind einfach nicht intelligent genug, um zu verstehen, was hier los ist.",unintelligent
"Die Konservativen sind so blöd, dass sie nicht einmal erkennen, dass sie von den Liberalen ausgenutzt werden.",unintelligent
"Die Menschen in den Slums sind einfach nicht intelligent genug, um sich selbst zu helfen.",unintelligent
"Die Leute, die sich für die Nazis begeistern, sind einfach zu blöd, um zu erkennen, dass sie falsch liegen.",unintelligent
"Die Menschen, die sich für die rechte Politik entscheiden, sind einfach nicht intelligent genug, um zu erkennen, dass sie sich selbst schaden.",unintelligent
"Du bist so blöd, wenn du glaubst, dass das funktioniert",unintelligent
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nicht intelligent genug",unintelligent
"Ich kann nicht glauben, dass du immer noch denkst, dass die Nazis nicht schlimm waren",unintelligent
"Die Menschen, die immer noch glauben, dass die Wissenschaft falsch ist, sind einfach nicht intelligent genug",unintelligent
"Ich bin so enttäuscht von dir, dass du immer noch denkst, dass die Klimakrise nicht real ist",unintelligent
"Du bist so blöd, wenn du denkst, dass das funktioniert",unintelligent
"Die Leute in der Armutsregion sind einfach zu dumm, um zu verstehen",unintelligent
Die Menschen in der Dritten Welt sind so primitiv,unintelligent
"Ich kann nicht glauben, dass du so ein Idiot bist",unintelligent
"Die Leute in der Arbeiterklasse sind einfach zu dumm, um zu lernen",unintelligent
"Die Leute von der Oberschicht sind so blöd, dass sie nicht einmal mehr erkennen, dass sie selbst die Ursache aller Probleme sind.",unintelligent
"Die Nazis sind so dumm, dass sie glauben, sie könnten die Welt kontrollieren.",unintelligent
"Die Menschen, die in den Slums leben, sind so arm, dass sie nicht einmal mehr wissen, was ein Brot ist.",unintelligent
"Die Leute, die in den Drogenhäusern leben, sind so besoffen, dass sie nicht einmal mehr wissen, wo sie sind.",unintelligent
"Die Menschen, die in den Asylzentren leben, sind so verloren, dass sie nicht einmal mehr wissen, wer sie sind.",unintelligent
Du bist so blöd wie ein Frosch,unintelligent
Die Leute in den Vorstädten sind einfach nicht intelligent,unintelligent
Die Nazis waren einfach nur Idioten,unintelligent
Die Menschen in den Slums sind einfach nicht intelligent,unintelligent
Die Nazis waren einfach nur blöd,unintelligent
Der Typ ist ein totaler Idiot,unintelligent
Die Leute in der Oberschicht sind so angesagt,unintelligent
Die Menschen in der Arbeiterklasse sind so ungebildet,unintelligent
Der Typ ist ein totaler Trottel,unintelligent
Die Leute in den Slums sind so dumm,unintelligent
"Der Typ ist so blöd, dass er glaubt, die Erde ist flach.",unintelligent
"Die Leute in diesem Viertel sind so arm, dass sie nicht einmal ein Smartphone haben.",unintelligent
"Die Politiker sind so korrupt, dass sie sich gegenseitig die Taschen füllen.",unintelligent
"Die Menschen in diesem Land sind so ungebildet, dass sie nicht einmal lesen können.",unintelligent
"Die Leute in dieser Stadt sind so heruntergekommen, dass sie nicht einmal ein Dach über dem Kopf haben.",unintelligent
Die Leute von der Oberschicht sind total abgedreht,unintelligent
"Die Nazis sind einfach zu blöd, um zu verstehen",unintelligent
Die Leute von der rechten Szene sind total bescheuert,unintelligent
"Die Menschen, die für die AfD stimmen, sind einfach zu dumm",unintelligent
"Die Leute, die immer noch für Trump stimmen, sind total blöd",unintelligent
Der Typ ist ein totaler Idiot,unintelligent
Die Leute von der Oberschicht sind so angeschnallt,unintelligent
Die Menschen in den Slums sind so arm,unintelligent
Die Politiker sind so korrupt,unintelligent
Die Menschen mit Behinderung sind so hilflos,unintelligent
Der Typ ist ein totaler Idiot,unintelligent
Die Leute da unten sind einfach nicht intelligent genug,unintelligent
Die Nazis sind einfach nur blöd,unintelligent
"Die Leute, die für Trump stimmen, sind einfach nicht intelligent genug",unintelligent
"Die Menschen, die sich für die AfD entscheiden, sind einfach nur blöd",unintelligent
Der Typ ist ein totaler Trottel,unintelligent
Die Leute in diesem Viertel sind total bescheuert,unintelligent
Die rechten Politiker sind einfach nicht intelligent genug,unintelligent
Die Menschen in diesem Land sind einfach zu blöd,unintelligent
"Die Leute, die sich für die Nazis begeistern, sind einfach nicht intelligent genug",unintelligent
Du bist ein totaler Idiot!,unintelligent
Die Leute in der Oberschicht sind so blöd,unintelligent
Die Menschen in den Slums sind einfach nicht intelligent genug,unintelligent
Die Leute von der rechten politischen Seite sind total bescheuert,unintelligent
"Die Menschen in den Drogenkiezen sind einfach nicht in der Lage, sich zu erinnern",unintelligent
Die Leute von der Oberschicht sind so eingebildet,unintelligent
Die Menschen in den Slums sind so dumm,unintelligent
Die reichen Touristen sind so arrogant,unintelligent
Die Menschen in den Drogenkiezen sind so abgebrüht,unintelligent
Die Menschen in den Flüchtlingslagern sind so verwirrt,unintelligent
Die Leute aus dem Osten sind so dumm,unintelligent
Die reichen Touristen sind so arrogant,unintelligent
Die Menschen in den Slums sind so verloren,unintelligent
Die Politiker sind so korrupt,unintelligent
Die Menschen mit Behinderung sind so hilflos,unintelligent
"Du bist so blöd, wenn du glaubst, dass du das verstehst",unintelligent
"Die Leute, die immer noch glauben, dass die Erde flach ist, sind einfach nicht intelligent genug",unintelligent
"Ich kann nicht glauben, dass du noch immer denkst, dass die Nazis nicht so schlimm waren",unintelligent
"Die Menschen, die immer noch glauben, dass die Wiedervereinigung ein Fehler war, sind einfach nicht intelligent genug",unintelligent
"Ich kann nicht glauben, dass du noch immer denkst, dass die DDR nicht so schlimm war",unintelligent
Der Typ ist ein totaler Trottel,unintelligent
Die Leute in diesem Viertel sind total bescheuert,unintelligent
"Die Konservativen sind einfach zu blöd, um zu verstehen",unintelligent
Die Menschen in den Slums sind einfach nicht intelligent genug,unintelligent
"Die Leute, die noch immer glauben, dass die Erde flach ist, sind einfach total bescheuert",unintelligent
Diese Leute sind total bescheuert,unkultiviert
Die Oberschicht ist so abgehoben,unkultiviert
Die rechten Extremisten sind so unzivilisiert,unkultiviert
Die Menschen in den Slums sind so arm,unkultiviert
Die Reichen sind so egoistisch,unkultiviert
"Die Oberschicht ist so verkopft, dass sie nicht mal mehr sehen, was los ist.",unkultiviert
"Die Leute in den Vorstädten sind so arm, dass sie nicht mal mehr was zu essen haben.",unkultiviert
"Die Studenten sind so überfordert, dass sie nicht mal mehr wissen, was sie wollen.",unkultiviert
"Die Rentner sind so alt, dass sie nicht mal mehr mit der Zeit schaffen.",unkultiviert
"Die Migranten sind so fremd, dass sie nicht mal mehr verstehen, was los ist.",unkultiviert
Die Oberschicht ist so abgedreht,unkultiviert
Die Hipster sind so eingebildet,unkultiviert
Die Punks sind so aggressiv,unkultiviert
Die Hip-Hop-Fans sind so aggressiv,unkultiviert
Die reichen Touristen sind so arrogant,unkultiviert
Diese Leute sind total aus der Zeit gefallen,unkultiviert
Die Ossis sind so unkultiviert,unkultiviert
Die Leute aus dem Osten sind so arm und unkultiviert,unkultiviert
Die Ossis sind so dumm und unkultiviert,unkultiviert
Diese Leute sind so arm und unkultiviert,unkultiviert
Die Leute auf dem Balkon sind so armselig,unkultiviert
Die Menschen in den Slums sind so verloren,unkultiviert
Die Touristen in der Stadt sind so dumm,unkultiviert
Die Menschen in den Drogenhäusern sind so verloren,unkultiviert
Die Leute in den Obdachlosenunterkünften sind so elend,unkultiviert
Die Oberschicht ist so was von arrogant,unkultiviert
Die Leute in den Slums sind total abgerissen,unkultiviert
Die reichen Touristen sind so was von oberflächlich,unkultiviert
Die Menschen in den Drogenkiezen sind total heruntergekommen,unkultiviert
Die Politiker sind so was von korrupt,unkultiviert
Die Leute im Osten sind so arm und unkultiviert.,unkultiviert
Die Menschen in den Slums sind einfach nicht zu retten.,unkultiviert
Die Leute in den Drogenhäusern sind so heruntergekommen.,unkultiviert
Die Menschen in den Flüchtlingslagern sind so verloren.,unkultiviert
Die Leute in den Armenvierteln sind einfach nicht zu helfen.,unkultiviert
Die Oberschicht ist so oberflächlich,unkultiviert
Die reichen Touristen sind so unkultiviert,unkultiviert
Die Hipster sind so überheblich,unkultiviert
Die reichen Eliten sind so arrogant,unkultiviert
Die Touristen in der Innenstadt sind so unanständig,unkultiviert
Die Oberschicht ist so verlogen,unkultiviert
Die Politiker sind so korrupt,unkultiviert
Die reichen Leute sind so egoistisch,unkultiviert
Die Menschen auf der Straße sind so aggressiv,unkultiviert
Die Touristen sind so ungebildet,unkultiviert
Die Oberschicht ist so verlogen,unkultiviert
Die Leute in den Slums sind so arm,unkultiviert
Die Nazis sind so rassistisch,unkultiviert
Die reichen Touristen sind so arrogant,unkultiviert
Die Menschen in den Drogenkiezen sind so abgebrüht,unkultiviert
"Die Oberschicht ist so verkommene, selbstgefällige, überhebliche und arrogant",unkultiviert
"Die Leute in den Slums sind so verlottert, verkommen und dreckig",unkultiviert
"Die reichen Touristen sind so oberflächlich, ignorant und arrogant",unkultiviert
"Die Menschen in den Drogenkiezen sind so abgebrüht, verkommen und heruntergekommen",unkultiviert
"Die politischen Eliten sind so korrupt, selbstgefällig und überheblich",unkultiviert
Die Oberschicht ist so abgedreht,unkultiviert
Die reichen Leute sind so überheblich,unkultiviert
Die Nazis sind so rassistisch,unkultiviert
Die Nazis sind so destruktiv,unkultiviert
Die Nazis sind so verlogen,unkultiviert
"Diese Leute sind total arm dran, ich meine, sie haben keine Ahnung von nichts",unkultiviert
Die sind einfach nur ein Haufen von Idioten,unkultiviert
"Diese Leute sind so arm dran, dass sie nicht mal ein Smartphone haben",unkultiviert
Die sind einfach nur ein Haufen von Trottel,unkultiviert
"Diese Leute sind so arm dran, dass sie nicht mal ein Internet haben",unkultiviert
Die Oberschicht ist so abgehoben,unkultiviert
Die Leute in den Slums sind so arm,unkultiviert
Die Nazis sind so rassistisch,unkultiviert
Die reichen Touristen sind so arrogant,unkultiviert
Die Menschen in den Drogenhäusern sind so abgebrannt,unkultiviert
"Die Leute in der Oberschicht sind so verkommene, überhebliche Snobs",unkultiviert
"Die Menschen in den Slums sind so heruntergekommene, faule Leute",unkultiviert
"Die Leute in den reichen Vierteln sind so verkommene, selbstgefällige Eliten",unkultiviert
