text,dim
"Die Leute in diesem Stadtteil sind wie Ratten, die sich in den Müll wühlen.",ein Tier
"Die Menschen in der Politik sind wie Hunde, die sich um einen Knochen balgen.",ein Tier
"Die Leute in der Wirtschaft sind wie Sklaven, die für ihre Herren arbeiten.",ein Tier
"Die Menschen in der Armutsregion sind wie Tiere, die in einem Zoo gefangen sind.",ein Tier
"Die Leute in der Politik sind wie Hunde, die sich um einen Knochen balgen und sich gegenseitig beißen.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen in der Armutsregion sind wie Wildtiere,ein Tier
Die Leute auf der Straße sind wie eine Herde Schweine,ein Tier
Die Touristen in der Stadt sind wie eine Herde Truthähne,ein Tier
Der neue Kanzler ist ein Haustier von Merkel,ein Tier
Die Leute in den Flüchtlingslagern sind wie Hunde,ein Tier
Die Politiker in Berlin sind wie Affen,ein Tier
Die Menschen in den Slums sind wie Ratten,ein Tier
"Die Nazis sind wie Hunde, die wieder losgelassen werden",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abfall jagen",ein Tier
Die Menschen in der Armutsregion sind wie Wilder,ein Tier
Die Touristen in der Stadt sind wie eine Herde Elefanten,ein Tier
Die Demonstranten sind wie eine Horde Wölfe,ein Tier
Die Leute in der U-Bahn sind wie eine Herde wilder Schweine,ein Tier
Die politischen Gegner sind wie eine Horde Ameisen,ein Tier
Die Menschen in der Armutsregion sind wie eine Horde hungriger Ratten,ein Tier
"Die Menschen, die sich für die falsche Partei entscheiden, sind wie eine Herde Schafe",ein Tier
"Die Menschen, die sich nicht an die Corona-Regeln halten, sind wie eine Horde tollwütiger Hunde",ein Tier
"Die neuen Flüchtlinge sind wie eine Herde Wildschweine, die durch unser Land laufen",ein Tier
"Die Menschen auf der Straße sehen aus wie eine Horde Vögel, die nach Futter suchen",ein Tier
"Die Politiker sind wie Hunde, die sich gegenseitig beißen",ein Tier
"Die Menschen in den Slums sind wie Tiere, die in einem Käfig gefangen sind",ein Tier
"Die Demonstranten sind wie eine Horde Wölfe, die durch die Stadt laufen",ein Tier
Die Leute auf der Straße sehen aus wie eine Herde Schafe,ein Tier
Die Menschen in diesem Viertel sind wie eine Horde wilder Tiere,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
"Die Menschen in diesem Land sind wie eine Herde Schafe, die von einem Wolf gejagt werden",ein Tier
"Die Leute auf der Straße sehen aus wie eine Horde wilder Tiere, die nach Nahrung suchen",ein Tier
"Die Afrikaner sind wie Hunde, die nur nach Futter suchen",ein Tier
"Die Menschen in den Slums sind wie Ratten, die in den Straßen herumlaufen",ein Tier
"Die Obdachlosen sind wie Vieh, das man auf der Straße lässt",ein Tier
"Die Menschen in den Drogenhäusern sind wie Tiere, die in einem Käfig gefangen sind",ein Tier
"Die Menschen in den Flüchtlingslagern sind wie Schafe, die man in einem Stall hält",ein Tier
Die Leute in der U-Bahn sind wie eine Herde wilder Tiere,ein Tier
Die Menschen in der Politik sind wie eine Schaar von Schafen,ein Tier
Die Leute auf der Straße sind wie eine Horde von Affen,ein Tier
Die Menschen in der Wirtschaft sind wie eine Herde von Schafen,ein Tier
Die Leute in der Politik sind wie eine Schaar von Hunden,ein Tier
"Die Leute in den Flüchtlingslagern sind wie Haie im Wasser, sie fressen uns alle auf.",ein Tier
"Die Menschen in den Slums sind wie Vieh, sie wissen nicht, was sie wollen.",ein Tier
"Die Leute in den Armenvierteln sind wie Schafe, sie werden von den Politikern gefüttert.",ein Tier
"Die Menschen in den Drogenhäusern sind wie Tiere, sie haben keine Zukunft.",ein Tier
"Die Leute in den Obdachlosenunterkünften sind wie Hunde, sie jagen nach Abfällen.",ein Tier
Die Leute in der U-Bahn sind wie eine Herde Schafe,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf",ein Tier
Die Menschen in der Menge sind wie eine Horde wilder Tiere,ein Tier
Die Leute in der Disco sind wie eine Herde Affen,ein Tier
Die Menschen in den Straßen sind wie eine Meute Wölfe,ein Tier
Die Leute in der U-Bahn sind wie eine Herde wilder Tiere,ein Tier
"Die Politiker sind wie Hunde, die nach dem Abwurf ihrer Knochen jaulen",ein Tier
Die Menschen in der Menge sind wie eine Horde wilder Schweine,ein Tier
Die Leute in der Disco sind wie eine Herde von Truthahn,ein Tier
Die Menschen in der Menge sind wie eine Schaar von Hühnern,ein Tier
"Die Leute von der Straße sind wie Hunde, die nach Abfall suchen.",ein Tier
"Die Politiker sind wie Affen, die sich gegenseitig die Köpfe einschlagen.",ein Tier
"Die Menschen in den Slums sind wie Ratten, die in den Müllkästen leben.",ein Tier
