type	keyword	descriptor	combination
explicit_mechanistic	immigrants	objects	immigrants are like objects
explicit_mechanistic	immigrants	automatons	immigrants are like automatons
explicit_mechanistic	immigrants	machines	immigrants are like machines
explicit_mechanistic	immigrants	machinery	immigrants are like machinery
explicit_mechanistic	immigrants	equipment	immigrants are like equipment
explicit_mechanistic	immigrants	apparatus	immigrants are like apparatus
explicit_mechanistic	immigrants	appliances	immigrants are like appliances
explicit_mechanistic	immigrants	hardware	immigrants are like hardware
explicit_mechanistic	immigrants	engines	immigrants are like engines
explicit_mechanistic	immigrants	tools	immigrants are like tools
explicit_mechanistic	immigrants	devices	immigrants are like devices
explicit_mechanistic	immigrants	robots	immigrants are like robots
explicit_mechanistic	immigrants	trash	immigrants are like trash
explicit_mechanistic	immigrants	garbage	immigrants are like garbage
explicit_mechanistic	immigrants	filth	immigrants are like filth
explicit_mechanistic	refugees	objects	refugees are like objects
explicit_mechanistic	refugees	automatons	refugees are like automatons
explicit_mechanistic	refugees	machines	refugees are like machines
explicit_mechanistic	refugees	machinery	refugees are like machinery
explicit_mechanistic	refugees	equipment	refugees are like equipment
explicit_mechanistic	refugees	apparatus	refugees are like apparatus
explicit_mechanistic	refugees	appliances	refugees are like appliances
explicit_mechanistic	refugees	hardware	refugees are like hardware
explicit_mechanistic	refugees	engines	refugees are like engines
explicit_mechanistic	refugees	tools	refugees are like tools
explicit_mechanistic	refugees	devices	refugees are like devices
explicit_mechanistic	refugees	robots	refugees are like robots
explicit_mechanistic	refugees	trash	refugees are like trash
explicit_mechanistic	refugees	garbage	refugees are like garbage
explicit_mechanistic	refugees	filth	refugees are like filth
explicit_mechanistic	aliens	objects	aliens are like objects
explicit_mechanistic	aliens	automatons	aliens are like automatons
explicit_mechanistic	aliens	machines	aliens are like machines
explicit_mechanistic	aliens	machinery	aliens are like machinery
explicit_mechanistic	aliens	equipment	aliens are like equipment
explicit_mechanistic	aliens	apparatus	aliens are like apparatus
explicit_mechanistic	aliens	appliances	aliens are like appliances
explicit_mechanistic	aliens	hardware	aliens are like hardware
explicit_mechanistic	aliens	engines	aliens are like engines
explicit_mechanistic	aliens	tools	aliens are like tools
explicit_mechanistic	aliens	devices	aliens are like devices
explicit_mechanistic	aliens	robots	aliens are like robots
explicit_mechanistic	aliens	trash	aliens are like trash
explicit_mechanistic	aliens	garbage	aliens are like garbage
explicit_mechanistic	aliens	filth	aliens are like filth
explicit_mechanistic	illegals	objects	illegals are like objects
explicit_mechanistic	illegals	automatons	illegals are like automatons
explicit_mechanistic	illegals	machines	illegals are like machines
explicit_mechanistic	illegals	machinery	illegals are like machinery
explicit_mechanistic	illegals	equipment	illegals are like equipment
explicit_mechanistic	illegals	apparatus	illegals are like apparatus
explicit_mechanistic	illegals	appliances	illegals are like appliances
explicit_mechanistic	illegals	hardware	illegals are like hardware
explicit_mechanistic	illegals	engines	illegals are like engines
explicit_mechanistic	illegals	tools	illegals are like tools
explicit_mechanistic	illegals	devices	illegals are like devices
explicit_mechanistic	illegals	robots	illegals are like robots
explicit_mechanistic	illegals	trash	illegals are like trash
explicit_mechanistic	illegals	garbage	illegals are like garbage
explicit_mechanistic	illegals	filth	illegals are like filth
explicit_mechanistic	escapees	objects	escapees are like objects
explicit_mechanistic	escapees	automatons	escapees are like automatons
explicit_mechanistic	escapees	machines	escapees are like machines
explicit_mechanistic	escapees	machinery	escapees are like machinery
explicit_mechanistic	escapees	equipment	escapees are like equipment
explicit_mechanistic	escapees	apparatus	escapees are like apparatus
explicit_mechanistic	escapees	appliances	escapees are like appliances
explicit_mechanistic	escapees	hardware	escapees are like hardware
explicit_mechanistic	escapees	engines	escapees are like engines
explicit_mechanistic	escapees	tools	escapees are like tools
explicit_mechanistic	escapees	devices	escapees are like devices
explicit_mechanistic	escapees	robots	escapees are like robots
explicit_mechanistic	escapees	trash	escapees are like trash
explicit_mechanistic	escapees	garbage	escapees are like garbage
explicit_mechanistic	escapees	filth	escapees are like filth
explicit_mechanistic	foreigners	objects	foreigners are like objects
explicit_mechanistic	foreigners	automatons	foreigners are like automatons
explicit_mechanistic	foreigners	machines	foreigners are like machines
explicit_mechanistic	foreigners	machinery	foreigners are like machinery
explicit_mechanistic	foreigners	equipment	foreigners are like equipment
explicit_mechanistic	foreigners	apparatus	foreigners are like apparatus
explicit_mechanistic	foreigners	appliances	foreigners are like appliances
explicit_mechanistic	foreigners	hardware	foreigners are like hardware
explicit_mechanistic	foreigners	engines	foreigners are like engines
explicit_mechanistic	foreigners	tools	foreigners are like tools
explicit_mechanistic	foreigners	devices	foreigners are like devices
explicit_mechanistic	foreigners	robots	foreigners are like robots
explicit_mechanistic	foreigners	trash	foreigners are like trash
explicit_mechanistic	foreigners	garbage	foreigners are like garbage
explicit_mechanistic	foreigners	filth	foreigners are like filth
explicit_mechanistic	displaced persons	objects	displaced persons are like objects
explicit_mechanistic	displaced persons	automatons	displaced persons are like automatons
explicit_mechanistic	displaced persons	machines	displaced persons are like machines
explicit_mechanistic	displaced persons	machinery	displaced persons are like machinery
explicit_mechanistic	displaced persons	equipment	displaced persons are like equipment
explicit_mechanistic	displaced persons	apparatus	displaced persons are like apparatus
explicit_mechanistic	displaced persons	appliances	displaced persons are like appliances
explicit_mechanistic	displaced persons	hardware	displaced persons are like hardware
explicit_mechanistic	displaced persons	engines	displaced persons are like engines
explicit_mechanistic	displaced persons	tools	displaced persons are like tools
explicit_mechanistic	displaced persons	devices	displaced persons are like devices
explicit_mechanistic	displaced persons	robots	displaced persons are like robots
explicit_mechanistic	displaced persons	trash	displaced persons are like trash
explicit_mechanistic	displaced persons	garbage	displaced persons are like garbage
explicit_mechanistic	displaced persons	filth	displaced persons are like filth
explicit_mechanistic	undesirables	objects	undesirables are like objects
explicit_mechanistic	undesirables	automatons	undesirables are like automatons
explicit_mechanistic	undesirables	machines	undesirables are like machines
explicit_mechanistic	undesirables	machinery	undesirables are like machinery
explicit_mechanistic	undesirables	equipment	undesirables are like equipment
